class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
4,202179.0,441.0,16.0,5.0,0.0,1684.0,0.97,0.93,0.01,0.01,-0.01,0.9,317.5,34.38,72.75,6.44,-6.83,2.41,10,3444
4,202398.0,600.0,17.0,3.0,1.0,1828.0,-1.14,0.45,-0.02,0.02,0.02,0.72,307.31,24.37,74.25,2.84,-8.16,2.39,10,3444
4,202614.0,25.0,13.0,1.0,2.0,2408.0,-0.25,0.6,-0.3,0.01,0.06,0.51,299.87,17.25,74.44,1.88,-8.59,2.39,10,3444
4,202833.0,56.0,5.0,0.0,3.0,2070.0,-0.9,0.39,-0.14,-0.0,-0.08,-0.56,300.06,16.81,74.44,1.93,-8.64,2.36,10,3444
4,203048.0,19.0,23.0,2.0,0.0,1811.0,-0.53,0.34,-0.12,0.06,-0.02,-0.88,309.12,25.94,73.0,4.07,-7.99,2.76,10,3444
4,203264.0,28.0,17.0,0.0,1.0,1692.0,-0.81,0.52,0.27,0.05,-0.01,-0.8,318.0,34.88,70.69,5.86,-6.79,2.61,10,3444
4,203483.0,44.0,17.0,0.0,1.0,1549.0,-0.53,0.53,0.12,0.03,-0.04,-0.95,328.87,45.5,67.0,6.46,-5.79,2.8,10,3444
4,203697.0,25.0,9.0,5.0,1.0,1780.0,2.17,-0.25,0.55,-0.11,-0.28,-0.5,339.0,55.0,62.81,10.2,-5.25,3.11,10,3444
4,203914.0,1673.0,3988.0,7.0,2.0,2293.0,2.45,6.93,-0.82,0.14,-0.03,4.21,315.69,34.69,74.75,8.03,-0.84,1.28,10,3444
4,204133.0,28.0,11.0,1.0,1.0,2360.0,-7.81,1.31,-0.38,-0.21,-0.21,-1.19,283.75,3.25,74.06,-7.25,-8.1,2.29,10,3444
4,204347.0,25.0,845.0,1.0,3.0,2510.0,0.74,0.35,0.11,0.07,-0.02,-0.07,291.87,11.88,74.5,2.32,-8.83,2.8,10,3444
4,204563.0,103.0,307.0,3.0,1.0,2459.0,-0.19,0.25,0.08,-0.02,-0.0,-0.02,292.56,12.19,74.56,1.87,-8.98,2.62,10,3444
4,204782.0,26.0,11.0,0.0,0.0,2416.0,-0.46,0.21,0.21,-0.03,0.01,-0.27,293.44,12.88,74.56,1.73,-9.0,2.75,10,3444
4,204997.0,11.0,8.0,0.0,3.0,2445.0,0.02,0.51,0.0,0.0,0.0,-0.55,298.81,17.87,74.31,3.03,-8.47,2.52,10,3444
