class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
5,10674.0,45.0,19.0,0.0,0.0,1304.0,0.36,0.18,-0.32,0.75,0.63,0.23,6.19,60.75,34.94,8.89,-2.55,3.65,2,936
5,10896.0,29.0,11.0,0.0,1.0,1819.0,-0.09,0.31,-0.53,0.55,0.21,0.75,355.81,52.75,29.44,7.68,-2.62,4.65,2,936
5,11114.0,43.0,18.0,3.0,3.0,1643.0,0.22,-0.04,-0.38,0.6,0.13,0.83,344.62,47.06,29.75,7.37,-3.38,5.43,2,936
5,11333.0,29.0,11.0,4.0,13.0,2056.0,-0.62,0.54,0.11,0.39,0.03,1.04,329.81,40.06,32.38,5.72,-3.51,6.48,2,936
5,11549.0,27.0,11.0,0.0,2.0,2157.0,-0.03,0.58,0.15,0.15,0.0,0.95,317.56,33.81,36.38,5.38,-4.28,6.71,2,936
5,11763.0,27.0,17.0,10.0,2.0,2340.0,-0.49,0.35,0.0,-0.26,0.1,0.89,306.44,26.12,42.13,4.1,-5.41,6.48,2,936
5,11982.0,36.0,18.0,1.0,2.0,2060.0,-0.89,0.58,0.26,-0.75,0.32,0.43,300.5,18.06,49.5,2.15,-6.5,6.32,2,936
5,12199.0,27.0,9.0,3.0,2.0,2395.0,-0.49,0.38,0.01,-0.93,0.5,-0.22,304.37,16.06,58.69,2.22,-7.7,4.84,2,936
5,12413.0,35.0,17.0,2.0,2.0,1892.0,-0.96,0.36,-0.22,-0.81,0.31,-0.5,314.56,18.56,67.37,2.89,-8.07,3.32,2,936
5,12632.0,280.0,8.0,1.0,5.0,2136.0,-1.26,0.13,-0.58,-0.47,0.1,-0.73,325.5,24.5,73.62,2.8,-8.42,1.92,2,936
5,12850.0,875.0,0.0,5.0,3.0,1956.0,-0.78,0.18,-0.29,-0.44,0.03,-0.88,337.56,33.88,76.37,4.75,-7.68,1.58,2,936
5,13065.0,1017.0,9.0,6.0,2.0,1717.0,0.28,0.47,-0.72,0.04,0.07,-1.45,352.69,46.94,75.87,7.92,-6.06,0.84,2,936
5,13285.0,29.0,19.0,2.0,2.0,1275.0,0.11,0.11,-0.76,0.54,0.34,-1.13,7.87,61.75,59.13,8.63,-3.52,2.56,2,936
5,13506.0,35.0,19.0,1.0,0.0,1287.0,-0.27,-0.03,-0.84,0.74,0.53,0.27,9.44,62.69,36.31,8.43,-2.7,2.78,2,936
5,13727.0,27.0,9.0,1.0,2.0,1765.0,1.22,0.06,0.1,0.84,0.28,0.56,358.87,54.31,27.62,9.16,-2.58,5.2,2,936
5,13944.0,25.0,19.0,9.0,5.0,1901.0,0.41,0.49,0.18,0.69,0.16,0.73,346.56,47.56,26.25,7.65,-2.42,6.11,2,936
5,14156.0,27.0,13.0,0.0,7.0,2030.0,-0.11,0.27,-0.08,0.5,0.08,0.78,334.31,41.69,27.12,6.4,-3.06,6.42,2,936
5,14372.0,28.0,9.0,1.0,1.0,2109.0,0.4,0.16,-0.28,0.15,-0.0,0.89,323.0,36.5,30.12,6.24,-3.79,6.53,2,936
5,14592.0,29.0,11.0,1.0,0.0,2258.0,-0.51,0.34,0.15,-0.13,0.06,0.91,312.56,30.69,35.31,4.44,-4.58,7.03,2,936
