class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
2,188256.0,63.0,11.0,0.0,0.0,1634.0,0.65,0.04,0.63,0.1,0.06,-0.6,17.94,75.87,40.0,10.17,-1.43,2.47,3,1031
2,188473.0,31.0,17.0,6.0,0.0,1224.0,1.3,0.17,-0.53,-0.01,-0.02,0.06,19.06,76.06,33.5,9.44,-1.33,2.31,3,1031
2,188690.0,1172.0,19.0,11.0,1.0,1371.0,2.15,0.45,0.54,-0.3,-0.12,1.72,11.63,70.5,56.0,11.4,-2.25,2.37,3,1031
2,188908.0,1988.0,2680.0,11.0,3.0,2408.0,-3.07,1.57,-0.11,0.01,-0.12,2.42,341.94,42.0,80.81,3.48,-5.61,1.03,3,1031
2,189124.0,1109.0,3373.0,4.0,1.0,2418.0,-2.45,0.35,0.62,0.21,-0.01,0.8,322.87,24.62,81.31,1.58,-8.47,1.98,3,1031
2,189342.0,1068.0,16.0,5.0,1.0,1851.0,-0.34,0.57,0.68,-0.07,0.04,-0.56,324.31,26.06,81.06,4.55,-8.2,1.77,3,1031
2,189561.0,25.0,9.0,264.0,1.0,2377.0,0.86,-0.19,-0.02,-0.01,0.04,-0.81,334.31,34.56,80.25,6.43,-8.15,1.33,3,1031
2,189777.0,25.0,8.0,137.0,0.0,2380.0,0.75,0.11,0.07,0.09,0.05,-0.93,343.5,43.94,77.5,7.62,-6.71,1.6,3,1031
2,189998.0,31.0,8.0,279.0,2.0,2223.0,0.8,0.29,0.21,0.12,0.11,-1.04,356.25,56.31,71.69,9.01,-4.77,1.93,3,1031
2,190213.0,23.0,17.0,93.0,0.0,1444.0,-0.08,0.11,0.32,0.13,0.05,-0.72,5.94,65.56,59.75,8.84,-3.38,2.35,3,1031
2,190428.0,39.0,17.0,0.0,0.0,1330.0,0.98,0.01,0.05,-0.05,-0.16,-0.47,13.25,71.87,47.13,10.32,-2.18,2.11,3,1031
2,190644.0,31.0,21.0,0.0,13.0,1236.0,0.87,0.06,0.13,-0.03,-0.06,-0.34,18.19,75.94,37.69,10.39,-1.36,2.01,3,1031
