class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
3,220642.0,25.0,8.0,1.0,2.0,1976.0,-0.33,-0.18,0.37,0.11,0.22,-0.04,56.75,80.5,77.75,9.33,-1.75,0.71,3,1189
3,220858.0,28.0,9.0,0.0,30.0,2206.0,-0.05,-0.22,0.09,0.01,0.03,0.24,56.0,79.69,74.19,9.59,-1.92,0.57,3,1189
3,221078.0,27.0,10.0,0.0,1.0,2301.0,0.1,-0.08,0.18,-0.03,-0.04,0.52,52.19,75.94,78.62,9.61,-2.45,0.64,3,1189
3,221297.0,39.0,8.0,7.0,0.0,2357.0,0.22,-0.05,0.15,0.07,0.04,0.5,44.88,68.81,81.69,9.35,-3.59,0.67,3,1189
3,221513.0,26.0,9.0,1.0,1.0,2408.0,-0.26,0.0,0.33,0.01,0.01,0.48,38.69,63.0,82.37,8.63,-4.45,0.82,3,1189
3,221732.0,19.0,9.0,0.0,0.0,2437.0,0.03,0.03,0.16,0.04,0.01,0.45,32.88,57.38,83.37,8.53,-5.17,0.77,3,1189
3,221952.0,27.0,9.0,0.0,1.0,2699.0,-0.65,0.05,0.17,-0.02,0.01,-0.07,28.12,52.75,83.62,7.15,-5.84,0.83,3,1189
3,222168.0,27.0,8.0,0.0,5.0,2705.0,0.2,-0.01,0.19,-0.0,0.01,-0.17,30.87,55.31,82.44,8.28,-5.52,0.92,3,1189
3,222386.0,26.0,10.0,0.0,0.0,2665.0,0.39,-0.03,0.03,0.0,-0.01,-0.06,31.75,56.06,82.12,8.53,-5.45,0.77,3,1189
3,222604.0,35.0,17.0,0.0,1.0,1564.0,0.41,0.26,0.21,-0.02,-0.06,-0.46,34.69,59.19,82.44,8.84,-4.71,0.87,3,1189
3,222816.0,37.0,13.0,1.0,0.0,1511.0,-1.17,-0.12,0.09,-0.05,-0.04,-0.73,42.19,66.44,81.87,7.84,-3.94,0.64,3,1189
3,223034.0,31.0,16.0,1.0,2.0,1305.0,1.02,0.08,-0.15,-0.04,-0.04,-0.75,51.94,75.62,80.0,9.44,-2.47,0.26,3,1189
