class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
0,119599.0,30.0,17.0,2.0,0.0,1641.0,1.52,0.76,0.17,0.19,0.04,-0.94,28.25,40.5,68.06,7.95,-6.08,2.96,6,5657
0,119821.0,38.0,18.0,3.0,0.0,1470.0,1.62,0.49,0.15,0.13,-0.02,-0.81,37.44,49.75,61.94,9.16,-5.02,3.14,6,5657
0,120039.0,31.0,7.0,4.0,6.0,1342.0,-0.31,0.53,-0.05,0.06,0.02,-0.98,47.13,58.44,51.5,9.67,-3.27,3.08,6,5657
0,120259.0,24.0,17.0,0.0,0.0,2087.0,-1.26,-0.2,0.17,-0.09,-0.03,-0.73,58.0,65.87,36.56,7.6,-2.59,2.76,6,5657
0,120480.0,29.0,23.0,3.0,0.0,1085.0,-0.59,0.02,-0.44,-0.13,-0.14,-0.09,65.44,70.69,26.06,8.2,-1.57,2.77,6,5657
0,120699.0,33.0,10.0,1.0,2.0,1101.0,-0.17,0.07,-0.15,0.02,0.0,0.49,65.19,72.56,31.37,9.48,-1.39,2.31,6,5657
0,120919.0,19.0,21.0,1.0,1.0,1735.0,-0.83,-0.01,-0.07,0.0,-0.08,0.7,57.63,67.75,46.69,8.24,-2.71,2.46,6,5657
0,121133.0,31.0,22.0,1.0,3.0,1371.0,-0.01,0.16,-0.06,-0.04,-0.02,0.95,47.13,59.5,60.38,7.82,-4.26,2.25,6,5657
0,121351.0,31.0,18.0,0.0,1.0,1511.0,-0.43,0.15,-0.25,0.03,0.0,0.79,35.38,48.94,67.69,6.47,-5.76,2.1,6,5657
0,121574.0,36.0,13.0,4.0,0.0,1656.0,-0.1,0.13,0.1,0.13,0.07,0.95,25.25,39.88,69.5,6.01,-6.9,2.64,6,5657
0,121792.0,37.0,20.0,3.0,3.0,1790.0,-0.61,0.5,0.18,-0.04,0.14,0.93,13.94,28.62,71.31,4.14,-7.85,3.09,6,5657
0,122014.0,27.0,9.0,1.0,1.0,1941.0,-0.34,0.28,0.05,-0.1,0.08,0.76,4.69,18.19,73.37,2.65,-8.66,2.71,6,5657
0,122235.0,29.0,18.0,0.0,0.0,2574.0,-1.17,0.52,0.35,0.09,-0.04,0.12,357.69,11.06,73.31,0.57,-8.57,2.93,6,5657
0,122456.0,31.0,13.0,0.0,3.0,1863.0,-1.42,0.24,0.05,-0.11,-0.11,-1.37,6.56,20.37,73.25,2.12,-8.5,2.68,6,5657
0,122677.0,26.0,17.0,1.0,1.0,2403.0,-0.86,0.07,0.04,0.06,-0.03,-1.14,21.44,34.44,70.37,6.97,-7.01,2.93,6,5657
