class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
6,86401.0,27.0,17.0,0.0,1.0,1956.0,-6.06,0.68,-0.68,0.26,-0.11,-2.17,325.87,21.62,83.81,-2.44,-8.37,0.29,6,2211
6,86618.0,31.0,18.0,3.0,843.0,2254.0,4.93,1.18,0.09,-0.15,-0.87,-3.46,16.69,71.69,56.56,14.24,-1.38,1.79,6,2211
6,86837.0,27.0,9.0,0.0,2685.0,2265.0,-0.41,0.24,0.32,0.11,0.05,0.11,24.75,78.69,39.56,9.2,-0.99,1.8,6,2211
6,87050.0,26.0,9.0,0.0,11.0,2063.0,1.93,0.29,0.22,-0.18,-0.41,0.24,24.06,79.12,47.94,11.56,-1.07,1.46,6,2211
6,87264.0,26.0,3869.0,0.0,1.0,2519.0,-0.55,6.12,-1.75,0.06,-0.49,4.14,353.44,51.38,86.06,6.86,-0.28,-1.42,6,2211
6,87483.0,26.0,2.0,0.0,1.0,2749.0,-6.62,0.0,-1.03,0.07,0.19,1.36,314.94,9.63,85.19,-0.16,-11.63,1.88,6,2211
6,87701.0,27.0,88.0,1.0,1.0,2860.0,-0.36,0.38,-0.15,-0.0,0.04,-0.42,317.75,12.31,85.81,1.72,-9.17,0.53,6,2211
6,87921.0,27.0,425.0,0.0,1.0,3044.0,0.17,0.25,-0.08,0.15,-0.04,-0.23,321.25,16.5,84.31,2.96,-9.1,0.83,6,2211
6,88141.0,27.0,8.0,0.0,2.0,2827.0,-0.01,0.25,0.27,0.03,-0.04,-0.13,321.87,18.19,82.62,3.05,-8.98,1.46,6,2211
6,88358.0,27.0,292.0,1.0,0.0,2807.0,0.1,0.49,-0.05,-0.11,-0.01,-0.42,325.19,21.31,83.12,3.71,-8.55,1.01,6,2211
6,88575.0,35.0,17.0,0.0,2.0,1895.0,1.65,0.57,0.17,-0.07,-0.03,-0.11,329.0,24.81,84.06,5.78,-8.26,1.07,6,2211
6,88796.0,27.0,9.0,0.0,1.0,2873.0,0.57,0.21,0.09,-0.02,-0.0,0.04,328.0,23.31,84.31,4.46,-8.74,0.97,6,2211
