class,time,fsr1,fsr2,fsr3,fsr4,angle,accx,accy,accz,gyro1,gyro2,gyro3,orient1,orient2,orient3,acc2x,acc2y,acc2z,participant,serialnumber
1,329024.0,26.0,310.0,0.0,1.0,2455.0,0.46,0.05,-0.19,0.06,-0.0,-0.38,311.19,32.75,76.25,5.58,-7.68,1.98,8,2700
1,329239.0,17.0,383.0,0.0,1.0,2383.0,-0.09,0.16,-0.13,-0.03,0.0,-0.31,315.12,36.5,75.75,5.74,-7.47,1.8,8,2700
1,329457.0,36.0,967.0,2.0,1.0,1781.0,0.27,0.01,-0.03,-0.03,0.0,-0.67,321.37,42.44,74.81,6.89,-6.96,1.85,8,2700
1,329674.0,31.0,19.0,1.0,1.0,1734.0,0.77,0.04,-0.09,0.02,0.03,-0.1,326.69,47.44,73.31,7.99,-6.32,1.54,8,2700
1,329887.0,31.0,7.0,0.0,1.0,2284.0,0.99,-0.08,-0.06,0.04,0.08,0.22,324.37,45.06,73.06,7.93,-6.7,1.95,8,2700
1,330108.0,31.0,21.0,5.0,7.0,1871.0,-0.15,-0.01,0.09,0.01,0.0,0.01,322.62,43.19,72.44,6.56,-6.82,2.24,8,2700
1,330325.0,13.0,7.0,0.0,1.0,2286.0,0.79,0.13,-0.36,-0.06,-0.04,-0.15,325.44,46.13,73.19,6.93,-6.54,1.31,8,2700
1,330541.0,38.0,93.0,0.0,2.0,2264.0,0.06,-0.03,-0.02,-0.04,-0.03,-0.09,326.37,47.19,73.56,7.26,-6.42,1.85,8,2700
1,330758.0,25.0,339.0,0.0,1.0,2315.0,-0.02,0.0,-0.01,0.0,0.0,0.01,326.56,47.5,73.75,7.2,-6.36,1.83,8,2700
1,330975.0,24.0,307.0,0.0,5.0,2317.0,-0.04,-0.03,-0.01,0.0,-0.0,0.01,326.56,47.5,73.75,7.18,-6.39,1.83,8,2700
1,331192.0,25.0,311.0,0.0,1.0,2317.0,-0.08,0.0,-0.02,-0.01,0.0,0.0,326.5,47.44,73.81,7.16,-6.37,1.79,8,2700
1,331410.0,31.0,13.0,1.0,2.0,1758.0,-0.05,-0.01,-0.23,0.03,0.04,0.12,326.25,47.19,73.75,7.13,-6.41,1.62,8,2700
